,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
65,CHEMBL1362734,CCn1nc([N+](=O)[O-])c(C(C#N)c2nc3cc(C(F)(F)F)ccc3s2)c(Cl)c1=O,inactive,443.79400000000004,4.108780000000001,0.0,8.0,4.2403321553103694
66,CHEMBL1731022,CSc1nc(O)c(C(c2ccc(OC(C)C)cc2)c2c(O)nc(SC)nc2O)c(O)n1,inactive,462.55300000000017,3.5002000000000013,4.0,11.0,4.483332440900957
68,CHEMBL1579562,O=C1C(Cl)=C(N2CCCC2)C(=O)N1c1ccccc1F,inactive,294.71299999999997,2.2451,0.0,3.0,4.073657553374345
69,CHEMBL1730974,O=S(=O)(O)c1ccc(O)c2cc(Nc3ccccc3)ccc12,inactive,315.35,3.535700000000001,3.0,4.0,4.698102282804792
70,CHEMBL1441315,Cc1cc(S(=O)(=O)ON2C(=O)c3ccccc3C2=O)ccc1F,inactive,335.31200000000007,2.0506200000000003,0.0,5.0,4.0
71,CHEMBL1563712,CN1C(=O)NC(=O)/C(=C/c2ccc([N+](=O)[O-])s2)C1=O,inactive,281.249,0.7479,1.0,6.0,4.7594507517174005
72,CHEMBL1878916,O=C(O)CN1C(=O)C=CC1=O,inactive,155.10899999999998,-1.004,1.0,3.0,4.0
73,CHEMBL1469463,Cc1ccccc1N1C(=O)NC(=O)/C(=C\c2cnn(-c3ccccc3)c2)C1=O,inactive,372.3840000000001,2.847120000000001,1.0,5.0,4.0
74,CHEMBL1311185,O=C(Nc1ccccc1)C1=C(c2ccccc2)S(=O)(=O)CCS1(=O)=O,inactive,377.44300000000015,1.8371,1.0,5.0,4.0
75,CHEMBL234338,O=c1cc(-c2ccc(O)cc2)oc2c(O)c(O)c(O)c(O)c12,inactive,302.238,1.9880000000000004,5.0,7.0,4.0
76,CHEMBL1311109,CC(C)(C)c1ccc(C(=O)CC(Sc2ccc(Cl)cc2)C(=O)O)cc1,inactive,376.9050000000001,5.455800000000004,1.0,3.0,4.419303060287564
77,CHEMBL3212315,COc1ccc(/C=c2\sc3nc(=O)c(C)nn3c2=O)c(OC)c1,inactive,331.35300000000007,0.38451999999999975,0.0,8.0,4.656394491895828
78,CHEMBL1327390,CCOc1ccc(/C=C2\SC(=S)N(CCC(=O)Nc3ccccc3C(=O)O)C2=O)cc1,inactive,456.54500000000013,4.013500000000002,2.0,6.0,4.533577277566208
79,CHEMBL3193134,O=C(CCN1CCN(c2ccccc2)CC1)N/N=C/c1ccc(O)c(O)c1O,inactive,384.43600000000015,1.4657999999999993,4.0,7.0,4.52201102374911
80,CHEMBL1711432,COc1cc(NCCCCCCN)c2ncccc2c1OC,inactive,303.40600000000006,3.1830000000000007,2.0,5.0,4.0
81,CHEMBL1311053,CCc1sc(C(C2C(=O)CC(C)(C)CC2=O)C2C(=O)CC(C)(C)CC2=O)cc1[N+](=O)[O-],inactive,447.5530000000002,4.451100000000005,0.0,7.0,4.785951320588058
82,CHEMBL1590814,Cc1oc2c(C)c3oc(=O)c(CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc4ccccc4)C(=O)O)c(C)c3cc2c1C,inactive,560.6470000000002,4.658380000000004,3.0,6.0,4.139123203596702
83,CHEMBL1711524,Cc1ccc([C@@H]2CC=C(C(=O)O)[C@H](c3ccc(Br)cc3)N2S(=O)(=O)c2ccccc2C)cc1,inactive,526.4520000000002,5.953940000000006,1.0,3.0,4.469032318428085
84,CHEMBL1492642,CC(/C=C1\SC(=S)N(NS(=O)(=O)c2ccc(C)cc2)C1=O)=C\c1ccccc1,inactive,430.5760000000002,4.036020000000002,1.0,5.0,4.567351339986893
85,CHEMBL1712164,CC(C)c1ccc(N2C(=O)C(Cl)=C(N3CCOCC3)C2=O)cc1,inactive,334.80300000000005,2.4658000000000007,0.0,4.0,4.158765704493959
86,CHEMBL1391235,COc1cc(O)cc2cc3c(c(O)c12)C(=O)CC(C)(O)O3,inactive,290.27099999999996,1.9333000000000005,3.0,6.0,4.418619311290013
87,CHEMBL1879156,Cc1ccc(S(=O)(=O)Oc2ccccc2C=C2C(=O)NC(=O)NC2=O)cc1,inactive,386.3850000000001,1.5121200000000001,2.0,6.0,4.434742656579786
88,CHEMBL1712082,CC1=C(O)C(=O)C=C2C1=CC=C1C2(C)CCC2(C)C3CC(C)(C(=O)O)CCC3(C)CCC12C,inactive,450.61900000000037,6.697700000000006,2.0,3.0,4.706416486503883
89,CHEMBL1384008,O=C(c1ccc(NC(=O)C(c2ccccc2)c2ccccc2)cc1)c1ccc(C(=O)O)c(C(=O)O)c1,inactive,479.4880000000002,5.0846000000000044,3.0,4.0,4.239276027858049
90,CHEMBL1449334,CSc1nnc(-c2ccco2)c(-c2ccco2)n1,inactive,259.29,3.113500000000002,0.0,6.0,4.061280185217617
91,CHEMBL1327612,COc1cccc(/C=C/c2nc(O)nc(O)c2[N+](=O)[O-])c1O,inactive,305.24600000000004,1.6806000000000005,3.0,8.0,4.139841738681722
92,CHEMBL1469698,COc1ccc(C(=O)c2coc3c2C(=O)C(=O)c2ccccc2-3)cc1,inactive,332.311,3.5652000000000017,0.0,5.0,4.462306805632609
93,CHEMBL1900163,CCN(CCCNc1cc2c(c(N)c1S(=O)(=O)O)C(=O)c1ccccc1C2=O)c1ccccc1,inactive,479.55800000000016,3.6194000000000015,3.0,7.0,4.500725418107782
94,CHEMBL1587073,CCCCN(CCCC)c1ccc(C(=O)c2ccccc2C(=O)O)c(O)c1,inactive,369.46100000000007,4.728000000000005,2.0,4.0,4.355758414156272
95,CHEMBL1462469,COc1ccc(-c2csc(NC(=O)CSc3nc(C)nc4sc(C(=O)O)c(C)c34)n2)cc1,inactive,486.6000000000002,4.869240000000003,2.0,9.0,4.033013974882062
96,CHEMBL1541029,C=CCOc1cccc(C2C(C(=O)c3cc4ccccc4o3)=C(O)C(=O)N2c2cc(C)on2)c1,inactive,456.45400000000024,5.076920000000005,1.0,7.0,4.313185045492683
97,CHEMBL1731834,Cc1ccc(S(=O)(=O)N2[C@H](c3ccc(C(C)C)cc3)CC=C(C(=O)O)[C@@H]2c2ccc(Br)cc2)cc1,inactive,554.5060000000002,6.768920000000006,1.0,3.0,4.483068191131987
98,CHEMBL3197141,Cc1cc(C(=O)N/N=C/c2ccc(O)c(O)c2O)c(C)n1-c1ccccc1,inactive,365.3890000000001,2.9748400000000013,4.0,6.0,4.377268034835281
99,CHEMBL1554169,O=C(O)/C=C/C(=O)c1ccc2c(c1)CCc1ccccc1-2,inactive,278.307,3.2757000000000023,1.0,2.0,4.640923773940737
100,CHEMBL1731730,Oc1c(Cl)cccc1Cc1cc(Cl)cc(Cl)c1O,inactive,303.572,4.648800000000002,2.0,2.0,4.342370568611048
101,CHEMBL3198550,N#C/C(=C\c1cccc(Cl)c1)C(=O)c1ccccc1,inactive,267.715,4.129880000000003,0.0,2.0,4.193413065672197
